Área;Prioridad;Equipo;Componente;Actividad;Monto 2027 (CLP);Meses con gasto;Hoja;Fila origen;Observación
Planta de Agua;P1;Motobombas General;;Sellos, Orines, Pernos, Empaquetadura;4200000;Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic;SUM 2027;22;
Planta de Agua;P1;Infraestructura (TK2, TK3, TK4, CIPf3, CIP4);;Limpieza y Recubrimiento de Estanques Sometidos a Exterior;3400000;Ene Mar;SUM 2027;64;
Planta de Agua;P1;Infraestructura;;Cambio de Tapas OI, abrazaderas de conexión, componentes oxidados;1800000;Jun;SUM 2027;63;
Planta de Agua;P1;Caudalímetros General;;Compra de tuberías con bridas como reemplazo temporal de transmisores Caudímetros;700000;Ene;SUM 2027;61;
Planta de Agua;P2;Infraestructura;;Mantención Infraestructura sometida a humedad, corrosión y exterior;2700000;Ene Mar May Jul Sep Nov;SUM 2027;62;
Planta de Agua;P2;TK-2;Motobomba 1;Motobomba 1 alimentación balance;1960000;Ene Jul;SUM 2027;23;
Planta de Agua;P2;TK-2;Motobomba 2;Motobomba 2 alimentación balance;1960000;Feb Ago;SUM 2027;24;
Planta de Agua;P2;TK-2;Motobomba 3;Motobomba 3 alimentación balance;1960000;Mar Sep;SUM 2027;25;
Planta de Agua;P2;TK4;Motobomba 1;Motobomba principal;980000;Jun;SUM 2027;28;
Planta de Agua;P2;TK Balance;Motobomba 1;Motobomba Aseo;980000;Jun;SUM 2027;30;
Planta de Agua;P2;TK Balance;Motobomba 2;Motobomba para mezcla manantial;980000;Jun;SUM 2027;31;
Planta de Agua;P2;TK2;Caudalimetro KROHNE;Calibración Anual;900000;Feb;SUM 2027;54;
Planta de Agua;P2;TK4;Caudalímetro Siemens;Calibración Anual;900000;Feb;SUM 2027;55;
Planta de Agua;P2;Nestlé;Caudalímetro Siemens;Calibración Anual;900000;Feb;SUM 2027;56;
Planta de Agua;P2;PET;Caudalímetro Siemens;Calibración Anual;900000;Feb;SUM 2027;57;
Planta de Agua;P2;Jarabería y Lic.;Caudalímetro Siemens;Calibración Anual;900000;Feb;SUM 2027;59;
Planta de Agua;P2;Manantial;Caudalímetro Siemens;Calibración Anual;900000;Feb;SUM 2027;60;
Planta de Agua;P2;Tk-3;Motobomba;regadío;750000;Ene;SUM 2027;27;
Planta de Agua;P2;TK4;Motobomba 2;Motobomba auxiliar;750000;Feb;SUM 2027;29;
Planta de Agua;P3;PRB;Caudalímetro Siemens;Calibración Anual;900000;Feb;SUM 2027;58;
Planta de Agua;Sin clasificar;filtros carbon;;Cambio de carbón;6303000;Mar Jun;SUM 2027;47;
Planta de Agua;Sin clasificar;"Tk 20 ; TK 33 ; TK01 ; TK02; TK inter";;Mantencion de Bbas, Valvulas,cambio filtros, niveles;5745303;Jun Nov;SUM 2027;45;
Planta de Agua;Sin clasificar;equipos UV;;mantencion equipos troyan;5600000;Jun;SUM 2027;48;
Planta de Agua;Sin clasificar;equipos UV;;mantencion equipos troyan;3800000;Jun;SUM 2027;49;
Planta de Agua;Sin clasificar;Osmosis Inversa;;cambio de manometros y medidores de caudal;3270704;Mar Jun Sep;SUM 2027;43;
Planta de Agua;Sin clasificar;estanques de 200 M3 planta de agua;;mantencion de bbas, cañerias y valvulas;2822095;Feb Abr Jun Ago Oct Dic;SUM 2027;53;
Planta de Agua;Sin clasificar;Equipos UV;;mantencion equipos de recirculacion estanques;2800000;Jun;SUM 2027;44;
Planta de Agua;Sin clasificar;Bombas de agua est 900 M3;;mantenciones de bbas valvulas y cañerias;2660000;Feb Abr Jun Oct;SUM 2027;50;
Planta de Agua;Sin clasificar;osmosis inversa 2;;mantencion de bombas tuberias e instrumentacion;2400000;Jun;SUM 2027;46;
Planta de Agua;Sin clasificar;estanque acumulador de agua 900 M3;;limpieza y saneado anual de estanque;2387100;Jun;SUM 2027;51;
Planta de Agua;Sin clasificar;TK-33 /motobomba;;Mantenimiento de bomba de recirculación tk-33 1;2250000;Mar Jul Nov;SUM 2027;34;
Planta de Agua;Sin clasificar;TK-33 /motobomba;;Mantenimiento de bomba de recirculación tk-33 2;2250000;Mar Jul Nov;SUM 2027;35;
Planta de Agua;Sin clasificar;TK-A2 /motobomba;;Recirculación TK-A2;2250000;Ene May Sep;SUM 2027;39;
Planta de Agua;Sin clasificar;TK-A2 /motobomba;;CIP TK-A2;2250000;Ene May Sep;SUM 2027;40;
Planta de Agua;Sin clasificar;estanque acumulador de agua 900 M3;;reparaciones de filtraciones impermeabilizacion;1962422;Ene Mar May Jul Sep Nov;SUM 2027;52;
Planta de Agua;Sin clasificar;TK20 /motobomba;;Mantenimiento bomba de recirculación tk-20 7,5 HP;1500000;Abr Sep;SUM 2027;36;
Planta de Agua;Sin clasificar;TK20 /motobomba;;Mantenimiento de bomba auxiliar tk-20 3 HP;1500000;Abr Sep;SUM 2027;37;
Planta de Agua;Sin clasificar;Osmosis 1 /motobomba;;Motobomba Entrada;750000;Jun;SUM 2027;32;
Planta de Agua;Sin clasificar;TK-A2 /motobomba;;Motobomba a producción;750000;Jun;SUM 2027;41;
Planta de Agua;Sin clasificar;CIP4 /motobomba;;Bomba CIP 4;750000;Jun;SUM 2027;42;
Planta de Agua;Sin clasificar;Osmosis 1 /motobomba;;Motobomba Recuperación Rechazo;450000;Jun;SUM 2027;33;
Planta de RILES;P1;Sensores de pH (Pozo, Recir.Ec, Eflu.Ec., Recir.Acond, OD);;Revisión, calibración y si amérita cambio de sondas descalibradas;15000000;Feb Abr Jun Ago Oct Dic;SUM 2027;91;
Planta de RILES;P1;Sensores Nivel (Pozo Pit/Calamidad/Ecualizador/Acondicionador);;Revisión, calibración y si amérita cambio de sondas descalibradas;6000000;Abr Ago Dic;SUM 2027;90;
Planta de RILES;P1;Aerobio / Motor de Aire;;Revisión eléctrica, revisión componentes mecánicas;3200000;Ene Jun Dic;SUM 2027;101;
Planta de RILES;P1;Clarificador / Motobomba retorno de lodos;;Revisión eléctrica, revisión componentes mecánicas;1700000;Abr Sep;SUM 2027;102;
Planta de RILES;P1;Clarificador / Motoreductor;;Revisión eléctrica, revisión componentes mecánicas;1500000;Jun;SUM 2027;104;
Planta de RILES;P1;Pozo pit / Bomba elevadora PU10 Tipo Sumergible 4kw KSB;;Revisión eléctrica, revisión componentes mecánicas;1200000;Abr;SUM 2027;92;
Planta de RILES;P1;Anaerobio / Motobomba de alimentación/recirculación principal PU16;;Revisión eléctrica, revisión componentes mecánicas;980000;Abr;SUM 2027;98;
Planta de RILES;P1;Millonario a Servicios;Caudalimetro KROHNE;Calibración de caudalimetro;900000;Feb;SUM 2027;118;
Planta de RILES;P1;Millonario a Planta de Agua;Caudalimetro KROHNE;Calibración de caudalimetro;900000;Feb;SUM 2027;119;
Planta de RILES;P1;Entrada Pit a Ecualizador;Caudalímetro Siemens;Calibración de caudalimetro;900000;Feb;SUM 2027;120;
Planta de RILES;P1;Salida Clarificador;Caudalímetro Aguasin;Calibración de caudalimetro;900000;Feb;SUM 2027;121;
Planta de RILES;P1;Ecualizador / Motobomba de recirculación principal PU12;;Revisión eléctrica, revisión componentes mecánicas;850000;Abr;SUM 2027;94;
Planta de RILES;P1;Ecualizador / Motobomba de Salida a Acondicionador PU14;;Revisión eléctrica, revisión componentes mecánicas;850000;Mar;SUM 2027;96;
Planta de RILES;P1;Acondicionador / Motobomba de recirculación PU15;;Revisión eléctrica, revisión componentes mecánicas;850000;Jun;SUM 2027;97;
Planta de RILES;P1;Cármamo 2 / Motobomba principal impulso a regadío;;Revisión eléctrica, revisión componentes mecánicas;850000;Abr;SUM 2027;106;
Planta de RILES;P2;Pozo pit / Bomba elevadora PU11 Tipo Sumergible 4kw KSB;;Revisión eléctrica, revisión componentes mecánicas;1200000;Sep;SUM 2027;93;
Planta de RILES;P2;Anaerobio / Motobomba de alimentación/recirculación principal PU17;;Revisión eléctrica, revisión componentes mecánicas;980000;Sep;SUM 2027;99;
Planta de RILES;P2;Ecualizador / Motobomba de recirculación respaldo PU13;;Revisión eléctrica, revisión componentes mecánicas;850000;Sep;SUM 2027;95;
Planta de RILES;P2;Cármamo 2 / Motobomba respaldo impulso a regadío;;Revisión eléctrica, revisión componentes mecánicas;850000;Ago;SUM 2027;107;
Planta de RILES;P3;Pozo pit / Bomba Recirculación Calamidad;;Revisión eléctrica, revisión componentes mecánicas;1200000;Feb Sep;SUM 2027;87;
Planta de RILES;P3;Clarificador / Motobomba retorno de lodos respaldo;;Revisión eléctrica, revisión componentes mecánicas;850000;Jun;SUM 2027;103;
Planta de RILES;Sin clasificar;Tk Aerobio / Proceso;;Retiro de lodos (12m^3) (incluyendo limpieza Pozo Pit);49920000;Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic;SUM 2027;80;
Planta de RILES;Sin clasificar;Piscina Regadío /estructural;;Retiro de lodos piscina (50m^3);42000000;Mar Jun Sep Dic;SUM 2027;81;
Planta de RILES;Sin clasificar;Bombas dosificadoras /intrumentos;;cambio y/o mantención de bombas dosificadoras;4800000;Jun;SUM 2027;113;
Planta de RILES;Sin clasificar;TK Aerobio /estructural;;Limpieza de cámara de muestreo Aguas Antofagasta;4000000;Ene Abr Jul Oct;SUM 2027;78;
Planta de RILES;Sin clasificar;reactor anaerobio;;reparaciones de tapas de cubierta reactor;3600000;Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic;SUM 2027;109;
Planta de RILES;Sin clasificar;Ecualizador / Tamiz;;Restauraciones parciales;3600000;Ene Feb Mar Abr May Jun Jul Ago Sep Oct Nov Dic;SUM 2027;111;
Planta de RILES;Sin clasificar;Planta de biogas /válvulas;;Mantenimiento estructural;2400000;Mar Jun Sep Dic;SUM 2027;115;
Planta de RILES;Sin clasificar;Barandas /estructural;;Mantenimiento de barandas de seguridad;2100000;Abr Ago Dic;SUM 2027;110;
Planta de RILES;Sin clasificar;Tuberías /válvulas;;Mantenimiento estructural valvulas, acoples, americana;1500000;Abr Oct Dic;SUM 2027;112;
Planta de RILES;Sin clasificar;Planta Biogas /antorcha;;Mantencion general de antorcha de biogas;817676;Mar Jun Sep Dic;SUM 2027;117;
Planta de RILES;Sin clasificar;Planta de biogas /instrumentos;;Manómetros, flujómetros, válvula de seguridad;800000;Jun;SUM 2027;116;
Planta de RILES;Sin clasificar;TK Aerobio /estructural;;Compra de difusores de microburbuja (24 unidades);500000;Ene;SUM 2027;79;
